feature,p_value,drift_detected
Time,0.1422,False
V1,0.8067,False
V2,0.9358,False
V3,0.9969,False
V4,0.8167,False
V5,0.8503,False
V6,0.6849,False
V7,0.9271,False
V8,0.1296,False
V9,0.1705,False
V10,0.9315,False
V11,0.3104,False
V12,0.0144,True
V13,0.8558,False
V14,0.4101,False
V15,0.718,False
V16,0.0338,True
V17,0.9735,False
V18,0.8046,False
V19,0.1024,False
V20,0.6693,False
V21,0.4422,False
V22,0.6275,False
V23,0.9585,False
V24,0.7088,False
V25,0.2644,False
V26,0.3949,False
V27,0.8747,False
V28,0.9262,False
Amount,0.85,False
